"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "HTML", "vue", "XML", "SCSS", "comment", "blank", "total"
"d:\project\ghj_main\road_traffic_survey\README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\project\ghj_main\road_traffic_survey\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\project\ghj_main\road_traffic_survey\jsconfig.json", "JSON with Comments", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\project\ghj_main\road_traffic_survey\package-lock.json", "JSON", 0, 0, 0, 12432, 0, 0, 0, 0, 0, 1, 12433
"d:\project\ghj_main\road_traffic_survey\package.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"d:\project\ghj_main\road_traffic_survey\public\config.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 27, 6, 85
"d:\project\ghj_main\road_traffic_survey\public\index.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 1, 1, 19
"d:\project\ghj_main\road_traffic_survey\public\keyPressed.html", "HTML", 0, 0, 0, 0, 165, 0, 0, 0, 6, 13, 184
"d:\project\ghj_main\road_traffic_survey\src\App.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\project\ghj_main\road_traffic_survey\src\api\index.js", "JavaScript", 0, 0, 260, 0, 0, 0, 0, 0, 164, 44, 468
"d:\project\ghj_main\road_traffic_survey\src\assets\css\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 44, 1, 7, 52
"d:\project\ghj_main\road_traffic_survey\src\assets\image\intersection.svg", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"d:\project\ghj_main\road_traffic_survey\src\assets\json\guangzhou.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"d:\project\ghj_main\road_traffic_survey\src\assets\json\guangzhou.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"d:\project\ghj_main\road_traffic_survey\src\assets\json\guangzhou2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\project\ghj_main\road_traffic_survey\src\assets\json\huangpu.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
